tta_0,d_0,a_1,a_2,is_gap_accepted,RT_go,RT_stay,subj_id
4.25,90.0,4.0,4.0,0.423571978759963,0.7033035884790191,1.5560859489278325,all
4.5,70.0,-4.0,-4.0,0.17067350764318465,0.8756786298566713,1.4091071481213922,all
4.5,70.0,-4.0,0.0,0.1629832454276193,0.8232653407594746,1.35761341995701,all
4.5,70.0,-4.0,4.0,0.16034556784166284,0.8075530025165417,1.3348935176244703,all
4.5,70.0,0.0,-4.0,0.12189592390804659,0.737297804941839,1.227162323640449,all
4.5,70.0,0.0,0.0,0.12109045979775619,0.7308361217446275,1.2153712383541284,all
4.5,70.0,0.0,4.0,0.12058942673415726,0.7270712691690865,1.2075885333977505,all
4.5,70.0,4.0,-4.0,0.10133050189393106,0.687928497640453,1.14124549572496,all
4.5,70.0,4.0,0.0,0.10113385872454801,0.6861720159196658,1.1366701513992745,all
4.5,70.0,4.0,4.0,0.10098250614837805,0.6848671246430899,1.133032718877214,all
4.5,80.0,-4.0,-4.0,0.3769236364257575,0.8715483744513737,1.7406356675775856,all
4.5,80.0,-4.0,0.0,0.36342300612882306,0.8300932720213768,1.6645068844626902,all
4.5,80.0,-4.0,4.0,0.3574708916619021,0.8135846244646352,1.624231031290056,all
4.5,80.0,0.0,-4.0,0.2931752721182908,0.7634098910857421,1.5157751668817783,all
4.5,80.0,0.0,0.0,0.2905076646588068,0.7542719538042421,1.4900828083700084,all
4.5,80.0,0.0,4.0,0.2887727892058611,0.7486744932993651,1.4724654792432512,all
4.5,80.0,4.0,-4.0,0.25009124478091876,0.714479324379137,1.3946383682003727,all
4.5,80.0,4.0,0.0,0.2492309868563256,0.7112835852239442,1.3828500298870867,all
4.5,80.0,4.0,4.0,0.2485671882197204,0.7089056037854483,1.373489897102728,all
4.5,90.0,-4.0,-4.0,0.611890144319017,0.8288100635870946,2.0605785537067147,all
4.5,90.0,-4.0,0.0,0.5969815063473553,0.7995534858821711,1.9623547255889005,all
4.5,90.0,-4.0,4.0,0.5891500559163432,0.7854504552190745,1.9033079485558237,all
4.5,90.0,0.0,-4.0,0.5230868145238775,0.757993060201551,1.8119363831026662,all
4.5,90.0,0.0,0.0,0.5182376514618798,0.7482022808170693,1.7685878138644537,all
4.5,90.0,0.0,4.0,0.5149402808745657,0.7419009208702497,1.7377794390631354,all
4.5,90.0,4.0,-4.0,0.4664296580993073,0.7182624029830175,1.6612980064802392,all
4.5,90.0,4.0,0.0,0.4643892443527219,0.7140020488304277,1.6384886559750758,all
4.5,90.0,4.0,4.0,0.46280168367065994,0.7108045080266376,1.6203084092061644,all
4.75,70.0,-4.0,-4.0,0.2188363413396337,0.9631703913835757,1.5287647211404018,all
4.75,70.0,-4.0,0.0,0.20085092814543043,0.8599849575916586,1.4452860432595624,all
4.75,70.0,-4.0,4.0,0.1960848312783093,0.8363495759096023,1.4118534213329579,all
4.75,70.0,0.0,-4.0,0.1445397717052722,0.7567184945289739,1.2866646843343632,all
4.75,70.0,0.0,0.0,0.14313532842500218,0.7469041755481295,1.2694472825049394,all
4.75,70.0,0.0,4.0,0.14233318955996613,0.7417152625654865,1.2588263348362951,all
4.75,70.0,4.0,-4.0,0.11813993065669359,0.6982326685886261,1.183515496904665,all
4.75,70.0,4.0,0.0,0.11783371192963069,0.695845084525988,1.1773545770235254,all
4.75,70.0,4.0,4.0,0.11760630945237957,0.6941427995367434,1.1726258658132107,all
4.75,80.0,-4.0,-4.0,0.4465056269530496,0.9242040229287489,1.877164285807255,all
4.75,80.0,-4.0,0.0,0.4219860622287502,0.8564516234068011,1.7674273284142703,all
4.75,80.0,-4.0,4.0,0.4127627477326361,0.8336429365438762,1.7123499093369638,all
4.75,80.0,0.0,-4.0,0.33497578139539114,0.7813792946227207,1.5946163967058165,all
4.75,80.0,0.0,0.0,0.3307852905428224,0.7683413693493713,1.5590822482358533,all
4.75,80.0,0.0,4.0,0.3282494813040845,0.7609787808686806,1.5360350655164097,all
4.75,80.0,4.0,-4.0,0.2826830930747924,0.7244739004427868,1.4506629030825131,all
4.75,80.0,4.0,0.0,0.2814313698967864,0.7202625255586353,1.4352993102231024,all
4.75,80.0,4.0,4.0,0.28049854791734613,0.7172514133765917,1.4234808333221365,all
4.75,90.0,-4.0,-4.0,0.6725072960795385,0.8519922320454713,2.202787642485417,all
4.75,90.0,-4.0,0.0,0.6509708318292827,0.8111056587110345,2.0739432333410663,all
4.75,90.0,-4.0,4.0,0.6407070317958989,0.7934050471317565,1.9977423187173238,all
4.75,90.0,0.0,-4.0,0.5704817302982425,0.7690254761732773,1.9067020090582445,all
4.75,90.0,0.0,0.0,0.5637782911946516,0.7560707734912896,1.8494996423354448,all
4.75,90.0,0.0,4.0,0.5594763615369588,0.7482646332109403,1.8105879881714717,all
4.75,90.0,4.0,-4.0,0.507269906960458,0.7248630172923002,1.7301368394864802,all
4.75,90.0,4.0,0.0,0.5045590006618818,0.7194982088172508,1.70129558890706,all
