tta_0,d_0,a_values,a_duration,is_gap_accepted,RT_go,RT_stay,subj_id
5.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.3761773912330223,0.7601799105371447,1.6026939320081328,all
5.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.780607342259358,1.130395331089473,2.2439164249219905,all
5.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.780607342259358,1.130395331089473,2.2439164249219905,all
5.5,90.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.6932733262273312,0.7850395728570458,2.157414310874428,all
5.5,90.0,"(0.0, 4, 4, 0.0)",1.0,0.6209320482881958,0.7404297166358664,1.8863111067892797,all
5.5,90.0,"(0.0, 4, -4, 0.0)",1.0,0.6209320482881958,0.7404297166358664,1.8863111067892797,all
5.5,90.0,"(0.0, -4, 4, 0.0)",1.0,0.8344649772542898,0.8777636792602191,2.5356243425513294,all
5.5,90.0,"(0.0, -4, -4, 0.0)",1.0,0.8344649772542898,0.8777636792602191,2.5356243425513294,all
5.75,70.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.23199698402076932,0.8360609588848084,1.545037285392759,all
5.75,70.0,"(0.0, 4, 4, 0.0)",1.0,0.1790595100342597,0.7538889912409186,1.366074091024403,all
5.75,70.0,"(0.0, 4, -4, 0.0)",1.0,0.1790595100342597,0.7538889912409186,1.366074091024403,all
5.75,70.0,"(0.0, -4, 4, 0.0)",1.0,0.8043707593460827,1.4318825257551722,1.1323240334582225,all
5.75,70.0,"(0.0, -4, -4, 0.0)",1.0,0.8043707593460827,1.4318825257551722,1.1323240334582225,all
5.75,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.50145827627232,0.8395110736403145,1.9140695005274078,all
5.75,80.0,"(0.0, 4, 4, 0.0)",1.0,0.41232032981664296,0.7664758761707456,1.6639755990919447,all
5.75,80.0,"(0.0, 4, -4, 0.0)",1.0,0.41232032981664296,0.7664758761707456,1.6639755990919447,all
5.75,80.0,"(0.0, -4, 4, 0.0)",1.0,0.8493604242963101,1.115454394400723,1.7879183629468156,all
5.75,80.0,"(0.0, -4, -4, 0.0)",1.0,0.8493604242963101,1.115454394400723,1.7879183629468156,all
5.75,90.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.724075114855686,0.7848822800657062,2.260736153379512,all
5.75,90.0,"(0.0, 4, 4, 0.0)",1.0,0.6515025176090319,0.7407873798182231,1.9545423600880636,all
5.75,90.0,"(0.0, 4, -4, 0.0)",1.0,0.6515025176090319,0.7407873798182231,1.9545423600880636,all
5.75,90.0,"(0.0, -4, 4, 0.0)",1.0,0.8474537286295367,0.8500898983733007,2.1173472402182134,all
5.75,90.0,"(0.0, -4, -4, 0.0)",1.0,0.8474537286295367,0.8500898983733007,2.1173472402182134,all
6.0,70.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.26872283235175753,0.8519453349814307,1.6208579865655297,all
6.0,70.0,"(0.0, 4, 4, 0.0)",1.0,0.20448255567268878,0.7614550452136025,1.414858850177576,all
6.0,70.0,"(0.0, 4, -4, 0.0)",1.0,0.20448255567268878,0.7614550452136025,1.414858850177576,all
6.0,70.0,"(0.0, -4, 4, 0.0)",1.0,0.860693310720072,1.2739289004195697,0.8797752767915663,all
6.0,70.0,"(0.0, -4, -4, 0.0)",1.0,0.860693310720072,1.2739289004195697,0.8797752767915663,all
6.0,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.5486415438489719,0.8475039734788934,2.0036050198813897,all
6.0,80.0,"(0.0, 4, 4, 0.0)",1.0,0.4502082495970851,0.7704773065392589,1.7207613793785304,all
6.0,80.0,"(0.0, 4, -4, 0.0)",1.0,0.4502082495970851,0.7704773065392589,1.7207613793785304,all
6.0,80.0,"(0.0, -4, 4, 0.0)",1.0,0.8773236035664391,1.0454143410878896,1.126903219912911,all
6.0,80.0,"(0.0, -4, -4, 0.0)",1.0,0.8773236035664391,1.0454143410878896,1.126903219912911,all
6.0,90.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.7500359189653304,0.7806781796086906,2.3578999528181637,all
6.0,90.0,"(0.0, 4, 4, 0.0)",1.0,0.679492532692482,0.738435159992918,2.0168738654787077,all
6.0,90.0,"(0.0, 4, -4, 0.0)",1.0,0.679492532692482,0.738435159992918,2.0168738654787077,all
6.0,90.0,"(0.0, -4, 4, 0.0)",1.0,0.8480362141944034,0.8108929643527774,1.3323324234650877,all
6.0,90.0,"(0.0, -4, -4, 0.0)",1.0,0.8480362141944034,0.8108929643527774,1.3323324234650877,all
