tta_0,d_0,a_values,is_gap_accepted,RT_go,RT_stay,subj_id
4.5,90.0,"(0.0, 4, 4, 0.0)",0.47889004548735176,0.7324793391431365,1.6364949842932428,all
4.5,90.0,"(0.0, 4, -4, 0.0)",0.4805422708429484,0.7358121235939244,1.664377791780988,all
4.5,90.0,"(0.0, -4, 4, 0.0)",0.5927174965843882,0.8051919756007861,1.9188036042355499,all
4.5,90.0,"(0.0, -4, -4, 0.0)",0.610063684615407,0.8383629412652733,2.065640048569755,all
4.75,70.0,"(0.0, 0.0, 0.0, 0.0)",0.12191181889318527,0.7653270686380993,1.2624671872609279,all
4.75,70.0,"(0.0, 4, 4, 0.0)",0.10294054057858606,0.719727244379279,1.178552012973721,all
4.75,70.0,"(0.0, 4, -4, 0.0)",0.10310815183821753,0.7211944213840878,1.1841419446824393,all
4.75,70.0,"(0.0, -4, 4, 0.0)",0.16719501170714235,0.8587916216511785,1.4055016580736928,all
4.75,70.0,"(0.0, -4, -4, 0.0)",0.18384696896309094,0.967500223736771,1.5080289311706525,all
4.75,80.0,"(0.0, 0.0, 0.0, 0.0)",0.3195979103212672,0.7875943148483732,1.5640987160945332,all
4.75,80.0,"(0.0, 4, 4, 0.0)",0.2770120064360108,0.742359859915124,1.4393173868477627,all
4.75,80.0,"(0.0, 4, -4, 0.0)",0.27794351171104287,0.7454943779620682,1.4565937056206673,all
4.75,80.0,"(0.0, -4, 4, 0.0)",0.39878997799058274,0.8583402738943063,1.726919396209105,all
4.75,80.0,"(0.0, -4, -4, 0.0)",0.4266958677871314,0.9357438146809273,1.884973780202818,all
4.75,90.0,"(0.0, 0.0, 0.0, 0.0)",0.5733438285811646,0.7725970357291085,1.864461824130923,all
4.75,90.0,"(0.0, 4, 4, 0.0)",0.5207664473919402,0.7371389064947567,1.7017870622130196,all
4.75,90.0,"(0.0, 4, -4, 0.0)",0.5231110152573962,0.7416019891485922,1.7392089428211608,all
4.75,90.0,"(0.0, -4, 4, 0.0)",0.6476291623809585,0.8136082516132687,2.026826555573391,all
4.75,90.0,"(0.0, -4, -4, 0.0)",0.6739002139542861,0.8619009177472478,2.2348855701945802,all
5.0,70.0,"(0.0, 0.0, 0.0, 0.0)",0.14440022273257877,0.7834622950601741,1.328672633067701,all
5.0,70.0,"(0.0, 4, 4, 0.0)",0.11954855540560673,0.7302040131448336,1.2265389491746563,all
5.0,70.0,"(0.0, 4, -4, 0.0)",0.1198260415817699,0.7323192895605846,1.2346204914462207,all
5.0,70.0,"(0.0, -4, 4, 0.0)",0.20808459588256153,0.8940169499589018,1.5041156490839458,all
5.0,70.0,"(0.0, -4, -4, 0.0)",0.25136364969711794,1.1212820609296519,1.6693355311606501,all
5.0,80.0,"(0.0, 0.0, 0.0, 0.0)",0.3626060597046444,0.8027212609641731,1.6484582386242328,all
5.0,80.0,"(0.0, 4, 4, 0.0)",0.31062196993312574,0.7512926139443556,1.4992899173839631,all
5.0,80.0,"(0.0, 4, -4, 0.0)",0.31203875900518885,0.7556198510901401,1.5231131944715561,all
5.0,80.0,"(0.0, -4, 4, 0.0)",0.4610564118580766,0.8805091356327185,1.8372113191576438,all
5.0,80.0,"(0.0, -4, -4, 0.0)",0.5128556380496306,1.0085533122655166,2.066402805939203,all
5.0,90.0,"(0.0, 0.0, 0.0, 0.0)",0.616930206015004,0.779510696523271,1.9621909398015986,all
5.0,90.0,"(0.0, 4, 4, 0.0)",0.5589972679917393,0.7413793372563402,1.7707674125399258,all
5.0,90.0,"(0.0, 4, -4, 0.0)",0.5621845638463482,0.7471791247951998,1.8203565732527816,all
5.0,90.0,"(0.0, -4, 4, 0.0)",0.6960482636467571,0.8193172648751483,2.141640005051834,all
5.0,90.0,"(0.0, -4, -4, 0.0)",0.7325731701967986,0.8848095786110278,2.416069034042782,all
5.25,70.0,"(0.0, 0.0, 0.0, 0.0)",0.17129392270127147,0.8003775660304518,1.3945994374000723,all
5.25,70.0,"(0.0, 4, 4, 0.0)",0.13915253065440503,0.7390723763040054,1.2723231147125902,all
5.25,70.0,"(0.0, 4, -4, 0.0)",0.13959517529802803,0.7420093800999297,1.283565101341497,all
