participant_id	d_condition	tau_condition	a_condition	decision	RT	collision
2	60	3.5	[0.0, 4.0]	stay	1.280	False
2	30	3.5	[-2.0, -2.0]	go	1.240	False
2	30	5.0	[0.0, -2.0]	go	1.000	False
2	30	5.0	[0.0, 0.0]	go	1.580	False
2	30	5.0	[0.0, 4.0]	stay	1.560	False
2	30	5.0	[0.0, 4.0]	stay	1.480	False
2	30	3.5	[4.0, 4.0]	stay	1.280	False
2	30	5.0	[0.0, 4.0]	stay	1.420	False
2	30	5.0	[4.0, 4.0]	stay	1.640	False
2	60	3.5	[4.0, 4.0]	stay	1.120	False
2	30	5.0	[-2.0, 0.0]	go	0.960	False
2	60	3.5	[-2.0, 0.0]	stay	1.200	False
2	60	5.0	[4.0, 4.0]	go	1.220	True
2	60	5.0	[-2.0, -2.0]	stay	1.460	False
2	30	3.5	[0.0, 0.0]	go	2.100	True
2	60	5.0	[0.0, 0.0]	stay	2.020	False
2	30	3.5	[-2.0, 0.0]	go	1.400	False
2	60	5.0	[4.0, 0.0]	stay	1.980	False
2	60	3.5	[0.0, -2.0]	go	1.540	False
2	30	3.5	[0.0, -2.0]	go	1.480	False
2	30	3.5	[-2.0, -2.0]	go	1.620	False
2	30	3.5	[4.0, 4.0]	stay	1.420	False
2	30	5.0	[0.0, 0.0]	go	0.940	False
